,Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Stress_Level_Num,Study_Hours_Category
0,1,6.9,3.8,8.7,2.8,1.8,2.99,Moderate,2,1-6 hours
1,2,5.3,3.5,8.0,4.2,3.0,2.75,Low,1,1-6 hours
2,3,5.1,3.9,9.2,1.2,4.6,2.67,Low,1,1-6 hours
3,4,6.5,2.1,7.2,1.7,6.5,2.88,Moderate,2,1-6 hours
4,5,8.1,0.6,6.5,2.2,6.6,3.51,High,3,7-8 hours
5,6,6.0,2.1,8.0,0.3,7.6,2.85,Moderate,2,1-6 hours
6,7,8.0,0.7,5.3,5.7,4.3,3.08,High,3,7-8 hours
7,8,8.4,1.8,5.6,3.0,5.2,3.2,High,3,7-8 hours
8,9,5.2,3.6,6.3,4.0,4.9,2.82,Low,1,1-6 hours
9,10,7.7,0.7,9.8,4.5,1.3,2.76,Moderate,2,7-8 hours
10,11,9.7,3.6,8.0,2.5,0.2,3.43,High,3,+9 hours
11,12,6.9,1.1,9.1,2.1,4.8,2.97,Moderate,2,1-6 hours
12,13,6.4,2.2,5.7,4.8,4.9,2.82,High,3,1-6 hours
13,14,5.0,3.3,8.5,4.4,2.8,2.87,Low,1,1-6 hours
14,15,8.9,0.3,6.8,0.7,7.3,3.4,High,3,7-8 hours
15,16,6.7,0.3,6.6,2.0,8.4,3.2,Moderate,2,1-6 hours
16,17,8.6,2.6,9.4,1.6,1.8,3.36,High,3,7-8 hours
17,18,8.8,2.2,8.9,2.0,2.1,3.19,High,3,7-8 hours
18,19,7.6,1.7,5.1,0.6,9.0,3.16,High,3,7-8 hours
19,20,6.6,2.0,9.5,1.5,4.4,2.93,Moderate,2,1-6 hours
20,21,7.1,3.0,6.1,0.5,7.3,2.9,Moderate,2,7-8 hours
21,22,9.6,3.2,8.2,2.6,0.4,3.34,High,3,+9 hours
22,23,9.0,0.7,9.5,2.6,2.2,3.21,High,3,+9 hours
23,24,6.1,1.7,9.1,5.2,1.9,2.85,Moderate,2,1-6 hours
24,25,5.0,2.0,7.1,1.3,8.6,2.68,Low,1,1-6 hours
25,26,9.7,1.3,7.6,3.8,1.6,3.29,High,3,+9 hours
26,27,6.8,3.9,9.8,0.9,2.6,2.64,Moderate,2,1-6 hours
27,28,6.4,0.1,8.0,3.0,6.5,2.95,Moderate,2,1-6 hours
28,29,5.3,1.1,9.5,1.4,6.7,2.79,Low,1,1-6 hours
29,30,9.9,1.0,8.4,3.6,1.1,3.25,High,3,+9 hours
30,31,6.2,2.9,6.8,3.8,4.3,3.05,Moderate,2,1-6 hours
31,32,5.5,3.3,6.6,1.1,7.5,3.26,Low,1,1-6 hours
32,33,5.2,2.4,8.4,0.1,7.9,2.47,Low,1,1-6 hours
33,34,8.2,0.7,8.5,2.3,4.3,3.24,High,3,7-8 hours
34,35,9.7,0.6,6.7,0.7,6.3,3.62,High,3,+9 hours
35,36,9.1,2.2,7.6,1.2,3.9,3.12,High,3,+9 hours
36,37,5.5,3.6,9.5,3.4,2.0,2.58,Low,1,1-6 hours
37,38,8.6,3.6,9.4,1.9,0.5,3.03,High,3,7-8 hours
38,39,8.2,0.3,5.8,5.4,4.3,3.29,High,3,7-8 hours
39,40,5.0,0.6,7.7,4.2,6.5,2.61,Low,1,1-6 hours
40,41,8.3,0.9,8.6,1.4,4.8,3.48,High,3,7-8 hours
41,42,8.2,3.4,8.3,2.3,1.8,3.07,High,3,7-8 hours
42,43,5.5,1.5,6.3,1.5,9.2,2.81,Low,1,1-6 hours
43,44,9.5,2.5,9.0,1.5,1.5,3.49,High,3,+9 hours
44,45,7.9,2.0,6.0,4.3,3.8,2.97,Moderate,2,7-8 hours
45,46,9.7,3.8,9.6,0.3,0.6,3.55,High,3,+9 hours
46,47,5.1,3.7,7.1,5.8,2.3,2.6,Low,1,1-6 hours
47,48,9.3,1.3,5.8,3.3,4.3,3.09,High,3,+9 hours
48,49,9.7,2.8,7.9,0.3,3.3,3.47,High,3,+9 hours
49,50,9.4,3.0,8.5,2.2,0.9,3.18,High,3,+9 hours
50,51,6.8,1.2,9.0,4.9,2.1,3.12,Moderate,2,1-6 hours
51,52,9.0,2.6,8.5,3.1,0.8,4.0,High,3,+9 hours
52,53,9.5,1.4,6.9,0.6,5.6,3.33,High,3,+9 hours
53,54,7.3,2.2,6.4,3.5,4.6,3.11,Moderate,2,7-8 hours
54,55,5.2,0.1,9.1,2.2,7.4,2.79,Low,1,1-6 hours
55,56,8.8,0.9,8.1,0.5,5.7,3.1,High,3,7-8 hours
56,57,5.3,2.1,7.7,3.8,5.1,2.39,Low,1,1-6 hours
57,58,9.0,1.1,7.2,0.5,6.2,3.39,High,3,+9 hours
58,59,5.1,3.9,9.2,4.0,1.8,2.52,Low,1,1-6 hours
59,60,5.8,1.0,7.7,4.3,5.2,2.8,Low,1,1-6 hours
60,61,8.3,1.1,9.8,3.5,1.3,3.67,High,3,7-8 hours
61,62,7.1,1.0,6.8,4.5,4.6,3.27,Moderate,2,7-8 hours
62,63,5.1,0.5,5.2,0.2,13.0,2.85,High,3,1-6 hours
63,64,7.4,0.4,7.5,2.8,5.9,3.26,Moderate,2,7-8 hours
64,65,5.9,1.7,7.0,3.7,5.7,2.8,Low,1,1-6 hours
65,66,6.9,2.5,7.5,5.1,2.0,3.06,Moderate,2,1-6 hours
66,67,8.3,0.7,5.4,3.9,5.7,3.26,High,3,7-8 hours
67,68,9.7,2.3,6.9,3.3,1.8,3.38,High,3,+9 hours
68,69,7.3,2.2,9.7,1.9,2.9,3.15,Moderate,2,7-8 hours
